City,Year,CityAddress,BuildingType,LandArea,PricePsf
klang,2014,"klang, jalan sungai jeluh 32/191",SEMI-D FACTORY,"10,544",439
klang,2013,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"11,259",435
klang,2013,"klang, jalan sungai jeluh 32/191",SEMI-D FACTORY,"10,549",444
klang,2013,"klang, jalan sungai jeluh 32/191",SEMI-D FACTORY,"14,607",356
klang,2013,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"14,585",343
klang,2013,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"10,053",413
klang,2016,"klang, jalan air mata duyung",SEMI-D FACTORY,"11,564",220
klang,2015,"klang, jalan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",293
klang,2015,"klang, jalan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",283
klang,2014,"klang, jalan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",274
klang,2014,"klang, jalan sungai jeluh 32/189 (p/l 3799)",SEMI-D FACTORY,"10,592",269
klang,2014,"klang, jalan sungai jeluh 32/189, bukit naga",SEMI-D FACTORY,"10,592",283
klang,2014,"klang, jalan sungai jeluh 32/189, bkit naga, seksyen 32",SEMI-D FACTORY,"10,592",269
klang,2013,"klang, jalan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",269
klang,2013,"klang, jalan sungai jerluh 32/189",SEMI-D FACTORY,"10,592",266
klang,2013,"klang, jlaan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",266
petaling jaya,2017,"petaling jaya, jalan 51/225a zon industri pjct",SEMI-D FACTORY,"11,848",658
petaling jaya,2017,"petaling jaya, jalan 51a/227",SEMI-D FACTORY,"15,999",342
petaling jaya,2017,"petaling jaya, jalan 51a/225a (zon industri pjct)",SEMI-D FACTORY,"11,652",762
petaling jaya,2016,"petaling jaya, jalan 51/203a",SEMI-D FACTORY,"13,614",606
petaling jaya,2016,"petaling jaya, jalan 51a/225",DETACHED FACTORY,"43,208",699
petaling jaya,2016,"petaling jaya, jalan 51/213",DETACHED FACTORY,"23,386",299
petaling jaya,2016,"petaling jaya, lorong 51a/227c",SEMI-D FACTORY,"15,999",353
klang,2016,"klang, jalan ikan mata duyung ks10",SEMI-D FACTORY,"21,463",200
klang,2015,"klang, jalan ikan mata duyung",SEMI-D FACTORY,"25,930",217
klang,2014,"klang, jalan ikan mata duyung",SEMI-D FACTORY,"31,883",173
klang,2013,"klang, jalan ikan mata duyung",SEMI-D FACTORY,"21,463",196
klang,2013,"klang, jalan ikan mata duyung",SEMI-D FACTORY,"21,797",194
klang,2017,"klang, off jalan air hitam",SEMI-D FACTORY,"13,476",223
klang,2017,"klang, jalan permata 9a/ks09",SEMI-D FACTORY,"13,003",204
klang,2017,"klang, jalan permata 9/ks09",SEMI-D FACTORY,"14,434",269
klang,2017,"klang, jalan pertama 9a/ks09",SEMI-D FACTORY,"19,633",199
klang,2016,"klang, jalan permata 9a/ks9",SEMI-D FACTORY,"21,086",156
klang,2015,"klang, jalan permata 8",TERRACE FACTORY,"1,916",78
klang,2014,"klang, jalan pertama 9a/ks09",SEMI-D FACTORY,"19,633",169
klang,2014,"klang, jalan permata 9a/ks9",SEMI-D FACTORY,"19,892",153
klang,2014,"klang, jalan permata 9a/ks9",SEMI-D FACTORY,"19,892",153
klang,2017,"klang, hj abd karim 29/ks2",DETACHED FACTORY,"15,877",290
klang,2017,"klang, jalan hj. abdul karim 53",TERRACE FACTORY - INTERMEDIATE,"2,056",163
klang,2016,"klang, jalan rebana 3",TERRACE FACTORY - INTERMEDIATE,"2,056",195
klang,2016,"klang, jalan rebana 3",TERRACE FACTORY - INTERMEDIATE,"2,056",97
klang,2016,"klang, jalan rebana 10",TERRACE FACTORY - INTERMEDIATE,"1,970",330
klang,2015,"klang, lorong seruling 59/1",DETACHED FACTORY,"22,776",231
klang,2015,"klang, jalan rebana 10, off jalan seruling 59",TERRACE FACTORY,"1,970",203
klang,2015,"klang, lorong haji abdul karim 19b",TERRACE FACTORY - CORNER LOT,"2,766",235
klang,2015,"klang, jalan rebana",TERRACE FACTORY - INTERMEDIATE,"1,970",249
klang,2015,"klang, jalan hj abdul karim 33",TERRACE FACTORY - INTERMEDIATE,"2,056",185
klang,2017,"klang, jalan permata 2a/ks9",SEMI-D FACTORY,"18,460",260
klang,2017,"klang, jalan permata 2a/ks9",SEMI-D FACTORY,"18,180",264
klang,2016,"klang, jalan permata 2",TERRACE FACTORY - INTERMEDIATE,"2,077",289
klang,2015,"klang, jalan permata 2b/ks9",SEMI-D FACTORY,"17,760",270
klang,2015,"klang, jalan permata 2b/ks9",SEMI-D FACTORY,"12,249",302
klang,2015,"klang, jalan permata 8/ks09",TERRACE FACTORY - INTERMEDIATE,"1,916",78
klang,2015,"klang, jalan permata 8/ks09",TERRACE FACTORY - INTERMEDIATE,"1,916",78
klang,2014,"klang, jalan permata 2b/ks9",SEMI-D FACTORY,"17,760",273
klang,2014,"klang, jalan permata 9a/ks9",SEMI-D FACTORY,"19,504",176
klang,2013,"klang, jalan permata 2a",SEMI-D FACTORY,"18,320",248
klang,2017,"klang, jalan seruling 58",SEMI-D FACTORY,"9,752",308
klang,2017,"klang, jalan serunai 16",SEMI-D FACTORY,"4,645",237
klang,2017,"klang, jalan rebena 3",TERRACE FACTORY,"2,056",388
klang,2016,"klang, jalan serunai 1",SEMI-D FACTORY,"5,376",316
klang,2016,"klang, jalan rebena 3",TERRACE FACTORY - INTERMEDIATE,"2,056",365
klang,2016,"klang, jalan rebena 3",TERRACE FACTORY - INTERMEDIATE,"2,056",333
klang,2016,"klang, jalan serunai 16",SEMI-D FACTORY,"5,000",330
klang,2016,"klang, jalan serunai 1",SEMI-D FACTORY,"5,376",186
klang,2015,"klang, jalan serunai 16",SEMI-D FACTORY,"4,753",274
klang,2017,"klang, jalan perigi nanas 8/10, seksyen 12, fasa 1b",TERRACE FACTORY - INTERMEDIATE,"2,400",188
klang,2017,"klang, jalan sungai pinang 5/6",SEMI-D FACTORY,"10,086",119
klang,2017,"klang, jalan perigi nenas 8/10",TERRACE FACTORY,"2,400",158
klang,2017,"klang, jalan sungai pinang 5/6",TERRACE FACTORY - CORNER LOT,"3,401",118
klang,2017,"klang, jalan perigi nenas 8/10",TERRACE FACTORY - INTERMEDIATE,"2,400",129
klang,2017,"klang, jalan perigi nenas 8/10",TERRACE FACTORY - CORNER LOT,"5,251",72
klang,2017,"klang, jalan sungai pinang 5/5",TERRACE FACTORY - INTERMEDIATE,"2,002",81
klang,2017,"klang, jalan sungai pinang 5/5",TERRACE FACTORY - INTERMEDIATE,"2,002",81
klang,2017,"klang, jalan sungai pinang 5/5",TERRACE FACTORY - INTERMEDIATE,"2,002",81
klang,2017,"klang, jalan sungai pinang 5/5",TERRACE FACTORY - INTERMEDIATE,"2,002",81
klang,2017,"klang, jalan sungai chandong 19",TERRACE FACTORY - INTERMEDIATE,"2,002",100
klang,2017,"klang, lorong sungai chongdong",TERRACE FACTORY - INTERMEDIATE,"2,002",10
klang,2016,"klang, jalan sungai chandong 18",TERRACE FACTORY - INTERMEDIATE,"2,002",72
klang,2016,"klang, jalan sungai chandong 18",TERRACE FACTORY - INTERMEDIATE,"2,002",72
klang,2016,"klang, jalan sungai chandong 19",TERRACE FACTORY - INTERMEDIATE,"2,002",72
klang,2016,"klang, jalan sungai chandong 18",TERRACE FACTORY - INTERMEDIATE,"2,002",72
klang,2016,"klang, jalan sungai chandong 16",TERRACE FACTORY - INTERMEDIATE,"2,002",65
klang,2016,"klang, jalan sungai chandong 19",TERRACE FACTORY - INTERMEDIATE,"2,002",75
klang,2015,"klang, jalan sungai chandong 11d",TERRACE FACTORY - CORNER LOT,"2,842",106
klang,2015,"klang, jalan sungai chandong 18e",TERRACE FACTORY - INTERMEDIATE,"2,002",122
klang,2014,"klang, jalan sungai jeluh 32/191",DETACHED FACTORY,"14,660",336
klang,2014,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"15,231",289
klang,2016,"klang, jalan sungai kayu ara 32/31",SEMI-D FACTORY,"18,266",334
klang,2016,"klang, jalan spring 34/31, seksyen 34",SEMI-D FACTORY,"19,300",242
klang,2015,"klang, jalan spring 34/31, seksyen 34",SEMI-D FACTORY,"19,300",227
klang,2014,"klang, jalan spring 34/31",SEMI-D FACTORY,"19,300",176
klang,2017,"klang, jalan teluk batu 9, batu 4 1/2",TERRACE FACTORY,"1,604",274
klang,2016,"klang, jalan telok batu 2",TERRACE FACTORY,"1,873",203
klang,2014,"klang, jalan teluk batu 1",TERRACE FACTORY - INTERMEDIATE,"1,873",374
klang,2013,"klang, jalan teluk batu 1",TERRACE FACTORY - INTERMEDIATE,"1,873",318
klang,2016,"klang, jalan 34/1a seksyen 34",DETACHED FACTORY,"10,203",88
klang,2014,"klang, jalan injap 32/4",TERRACE FACTORY - END LOT,"2,400",729
klang,2013,"klang, jlaan 34/4",TERRACE FACTORY - INTERMEDIATE,"2,400",256
klang,2017,"klang, jalan gitar 33/3",TERRACE FACTORY,"2,125",847
klang,2015,"klang, & ‰Ï¥‰Ï¥-‰Ï¥, jalan gitar 33/3",TERRACE FACTORY,"2,000",925
klang,2014,"klang, jalan gitar 33/3",TERRACE FACTORY - INTERMEDIATE,"2,000","1,000"
klang,2014,"klang, jalan gitar 33/3",TERRACE FACTORY - INTERMEDIATE,"2,000",925
klang,2013,"klang, jalan gitar 33/3, seksyen 33, shah alam",TERRACE FACTORY - INTERMEDIATE,"2,000",875
klang,2013,"klang, jalan gitar 33/3",TERRACE FACTORY - INTERMEDIATE,"2,000",900
klang,2015,"klang, jalan laksamana 1/ks7",SEMI-D FACTORY,"16,393",436
klang,2013,"klang, jalan laksamana 1/ks7",SEMI-D FACTORY,"16,393",342
klang,2017,"klang, jalan 36/41",SEMI-D FACTORY,"16,340",233
klang,2015,"klang, jalan 36/41",SEMI-D FACTORY,"16,340",203
klang,2014,"klang, jalan 36/41, seksyen 36, shah alam",SEMI-D FACTORY,"16,415",210
klang,2014,"klang, jalan 36/41",SEMI-D FACTORY,"16,393",230
klang,2014,"klang, jalan 36/41",SEMI-D FACTORY,"16,340",174
klang,2013,"klang, jalan 36/41",SEMI-D FACTORY,"16,318",205
klang,2013,"klang, jalan 36/41",SEMI-D FACTORY,"16,264",221
klang,2016,"klang, lorong segambut 2",TERRACE FACTORY - CORNER LOT,"3,960",316
klang,2015,"klang, lorong seri gambut 1",SEMI-D FACTORY,"7,800",295
klang,2017,"klang, lorong zainal abidin 13",SEMI-D FACTORY,"18,912",201
klang,2014,"klang, lorong zainal abidin 13",SEMI-D FACTORY,"18,912",129
petaling jaya,2015,"petaling jaya, jalan ss 25/28",TERRACE FACTORY - INTERMEDIATE,"2,000",760
semenyih,2017,"semenyih, jalan 6/2 seksyen 6",TERRACE FACTORY - INTERMEDIATE,"2,002",264
semenyih,2016,"semenyih, jalan 6/11",SEMI-D FACTORY,"16,240",216
semenyih,2016,"semenyih, jalan 6/2a",SEMI-D FACTORY,"10,902",216
semenyih,2016,"semenyih, jalan 6/3, seksyen 6",TERRACE FACTORY - CORNER LOT,"3,305",175
semenyih,2015,"semenyih, jalan 6/2a, seksyen 6, bandar rinching",TERRACE FACTORY - INTERMEDIATE,"2,002",210
semenyih,2014,"semenyih, jalan 6/4, seksyen 6, bandar rinching",TERRACE FACTORY - INTERMEDIATE,"2,002",200
petaling jaya,2016,"petaling jaya, jalan jenjarom",DETACHED FACTORY,"21,829",183
semenyih,2017,"semenyih, jalan 1",SEMI-D FACTORY,"18,964",124
semenyih,2017,"semenyih, jalan 7",SEMI-D FACTORY,"11,255",169
semenyih,2016,"semenyih, jalan hi-tech 5",SEMI-D FACTORY,"14,882",158
semenyih,2016,"semenyih, jalan 5",SEMI-D FACTORY,"16,493",164
semenyih,2015,"semenyih, jalan 3",SEMI-D FACTORY,"13,657",168
semenyih,2015,"semenyih, jalan 5",SEMI-D FACTORY,"12,600",159
semenyih,2014,"semenyih, jalan 1",SEMI-D FACTORY,"24,872",113
semenyih,2017,"semenyih, jalan mega b",DETACHED FACTORY,"34,746",158
semenyih,2017,"semenyih, /‰Ï¥‰Ï¥, persiaran mega a",TERRACE FACTORY - INTERMEDIATE,"2,002",344
semenyih,2017,"semenyih, /‰Ï¥‰Ï¥, persiaran mega a",TERRACE FACTORY - CORNER LOT,"4,467",276
semenyih,2016,"semenyih, jalan mega 1a",SEMI-D FACTORY,"8,105",247
semenyih,2016,"semenyih, /‰Ï¥‰Ï¥, jalan persiaran mega a",TERRACE FACTORY - INTERMEDIATE,"2,002",325
semenyih,2015,"semenyih, jalan mega 1a",SEMI-D FACTORY,"8,417",285
semenyih,2015,"semenyih, /‰Ï¥‰Ï¥, jalan persiaran mega a",TERRACE FACTORY - INTERMEDIATE,"2,002",325
semenyih,2015,"semenyih, mega 22",SEMI-D FACTORY,"9,741",293
semenyih,2015,"semenyih, jalan mega 2a",TERRACE FACTORY - INTERMEDIATE,"2,002",280
semenyih,2015,"semenyih, & ‰Ï¥‰Ï¥‰Ï¥, jalan mega 2a",TERRACE FACTORY - INTERMEDIATE,"2,002",340
semenyih,2017,"semenyih, jalan semtec park 3",SEMI-D FACTORY,"14,800",169
semenyih,2017,"semenyih, jalan semtec 5",SEMI-D FACTORY,"11,550",182
semenyih,2017,"semenyih, jalan semtec 3",SEMI-D FACTORY,"14,800",176
semenyih,2015,"semenyih, jalan semtec 4",SEMI-D FACTORY,"11,550",190
semenyih,2015,"semenyih, jalan semtec park 4",SEMI-D FACTORY,"11,550",208
semenyih,2015,"semenyih, jalan semtec 4",SEMI-D FACTORY,"11,550",190
semenyih,2015,"semenyih, jalan semtec 3",SEMI-D FACTORY,"18,922",148
semenyih,2013,"semenyih, jalan semtec park 4",SEMI-D FACTORY,"11,550",147
semenyih,2013,"semenyih, jalan semtec park 4",SEMI-D FACTORY,"11,550",173
semenyih,2013,"semenyih, jalan semtec park",SEMI-D FACTORY,"14,800",155
semenyih,2017,"semenyih, jalan sri haneco 1/10",TERRACE FACTORY - INTERMEDIATE,"1,604",249
semenyih,2017,"semenyih, jalan sri haneco 1/12",TERRACE FACTORY - INTERMEDIATE,"1,604",175
semenyih,2016,"semenyih, jalan sri haneco 1/4",TERRACE FACTORY - INTERMEDIATE,"1,604",281
semenyih,2016,"semenyih, jalan sri haneco 1/8",TERRACE FACTORY - INTERMEDIATE,"1,604",137
semenyih,2016,"semenyih, sri haneco 1/4",TERRACE FACTORY - END LOT,"1,604",256
semenyih,2016,"semenyih, jalan sri haneco 1/6",TERRACE FACTORY - INTERMEDIATE,"2,002",245
semenyih,2015,"semenyih, jalan sri haneco 1/14",TERRACE FACTORY - INTERMEDIATE,"1,604",234
semenyih,2015,"semenyih, jalan sri haneco 1/4",TERRACE FACTORY - INTERMEDIATE,"2,002",250
semenyih,2015,"semenyih, jalan sri haneco 1/10",TERRACE FACTORY - INTERMEDIATE,"1,604",212
semenyih,2015,"semenyih, jalan sri haneco 1/6",TERRACE FACTORY - INTERMEDIATE,"2,002",200
semenyih,2017,"semenyih, jalan besi 1/2",SEMI-D FACTORY,"8,962",211
semenyih,2015,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"16,100",176
semenyih,2015,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"10,125",225
semenyih,2014,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"9,871",213
semenyih,2014,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"9,475",211
semenyih,2014,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"10,125",213
semenyih,2014,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"9,607",213
semenyih,2014,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"8,844",215
semenyih,2014,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"10,125",213
semenyih,2014,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"9,343",213
semenyih,2017,"semenyih, belakang semenyih permata",SEMI-D FACTORY,"11,590",149
semenyih,2016,"semenyih, jalan hi tech 6/1",SEMI-D FACTORY,"16,277",138
semenyih,2015,"semenyih, belakang semenyih permata",SEMI-D FACTORY,"11,040",170
semenyih,2015,"semenyih, belakang semenyih permata",SEMI-D FACTORY,"14,338",181
semenyih,2014,"semenyih, belakang semenyih permata",SEMI-D FACTORY,"11,776",178
semenyih,2014,"semenyih, jalan hi-tech 5",SEMI-D FACTORY,"14,800",203
semenyih,2014,"semenyih, belakang semenyih permata",SEMI-D FACTORY,"14,365",159
semenyih,2014,"semenyih, belakang semenyih permata",SEMI-D FACTORY,"19,010",130
semenyih,2014,"semenyih, jalan hi-tech 5",SEMI-D FACTORY,"19,558",146
semenyih,2014,"semenyih, belakang semenyih permata",SEMI-D FACTORY,"12,350",173
semenyih,2016,"semenyih, kb c, jalan hi-tech 3/1",SEMI-D FACTORY,"18,784",117
semenyih,2015,"semenyih, kb a, jalan hi-tech 3/2",SEMI-D FACTORY,"12,025",191
semenyih,2014,"semenyih, jalan hi-tech 3/4",SEMI-D FACTORY,"21,935",114
semenyih,2014,"semenyih, jalan hi-tech 3/4",SEMI-D FACTORY,"13,875",223
semenyih,2014,"semenyih, jalan hi-tech 3/3",SEMI-D FACTORY,"19,458",134
semenyih,2014,"semenyih, jalan hi-tech 3/1",SEMI-D FACTORY,"19,782",111
semenyih,2014,"semenyih, jalan hi-tech 3/3",SEMI-D FACTORY,"10,725",177
semenyih,2013,"semenyih, jalan hi-tech 3/4",SEMI-D FACTORY,"17,550",178
semenyih,2017,"semenyih, jalan villaraya 1/3a",TERRACE FACTORY - INTERMEDIATE,"2,400",162
semenyih,2017,"semenyih, jalan villaraya 1/6",TERRACE FACTORY - END LOT,"2,702",185
semenyih,2017,"semenyih, jalan 1/2",TERRACE FACTORY - INTERMEDIATE,"2,400",200
semenyih,2017,"semenyih, jalan villaraya 1/2",TERRACE FACTORY - CORNER LOT,"4,080",172
semenyih,2017,"semenyih, jalan villaraya 1/3",TERRACE FACTORY - INTERMEDIATE,"2,400",192
semenyih,2017,"semenyih, jalan 1/3a",TERRACE FACTORY - END LOT,"2,400",200
semenyih,2017,"semenyih, jalan villaraya 2/1",SEMI-D FACTORY,"8,999",122
semenyih,2017,"semenyih, jalan villaraya 2/1",SEMI-D FACTORY,"12,002",121
semenyih,2017,"semenyih, jalan villaraya 1/7",TERRACE FACTORY - END LOT,"2,702",174
petaling jaya,2014,"petaling jaya, jalan mj/4",TERRACE FACTORY,"2,400",375
petaling jaya,2014,"petaling jaya, jalan mj/3 medan maju jaya",TERRACE FACTORY,"3,200",146
kajang,2013,"kajang, metroworld taming industrial park",DETACHED FACTORY,"29,633",208
kajang,2016,"kajang, jalan perindustrian sungai balak 1/1",SEMI-D FACTORY,"13,541",282
kajang,2016,"kajang, jalan jenaris 2c",TERRACE FACTORY,"3,300",273
shah alam,2017,"shah alam, jalan jemuju satu 16/13a",TERRACE FACTORY - INTERMEDIATE,"3,900",277
shah alam,2016,"shah alam, jalan jemuju satu 16/13a",TERRACE FACTORY - INTERMEDIATE,"3,900",264
shah alam,2016,"shah alam, jalan tukang 16/4 shah alam",WAREHOUSE,"31,099",222
shah alam,2015,"shah alam, jalan jemuju satu 16/13a",TERRACE FACTORY - INTERMEDIATE,"3,900",256
shah alam,2015,"shah alam, jalan 16/13c",TERRACE FACTORY - INTERMEDIATE,"2,400",208
shah alam,2014,"shah alam, 16/11",SEMI-D FACTORY,"20,939",275
shah alam,2017,"shah alam, jalan nilam 1/1",TERRACE FACTORY - INTERMEDIATE,"2,002",524
shah alam,2017,"shah alam, jalan nilam 1/1",TERRACE FACTORY - INTERMEDIATE,"2,002",524
shah alam,2017,"shah alam, jalan nilam 1/1",TERRACE FACTORY - INTERMEDIATE,"2,002",564
shah alam,2016,"shah alam, jalan nilam 1/8",TERRACE FACTORY - INTERMEDIATE,"1,604",405
shah alam,2016,"shah alam, jalan nilam 2",SEMI-D FACTORY,"9,709",427
shah alam,2016,"shah alam, jalan nilam 1/3",TERRACE FACTORY - INTERMEDIATE,"2,002",574
shah alam,2016,"shah alam, jalan nilam 1/2",TERRACE FACTORY - INTERMEDIATE,"2,002",549
shah alam,2017,"shah alam, jalan sungai buloh 27/101a (hicom 27)",SEMI-D FACTORY,"11,550",429
shah alam,2017,"shah alam, jalan pendamar 27/90",TERRACE FACTORY,"4,680",342
shah alam,2017,"shah alam, jalan pendamar 27/90",TERRACE FACTORY,"4,680",342
shah alam,2017,"shah alam, jalan sungai buloh 27/101a (hicom 27)",SEMI-D FACTORY,"12,723",480
shah alam,2016,"shah alam, jalan sungai buloh 27/101a (hicom 27)",SEMI-D FACTORY,"12,723",480
shah alam,2016,"shah alam, jalan sungai buloh 27/101a (hicom 27)",SEMI-D FACTORY,"12,723",480
shah alam,2016,"shah alam, jalan sungai buloh 27/101a (hicom 27)",SEMI-D FACTORY,"12,723",393
shah alam,2015,"shah alam, jalan 27/90",TERRACE FACTORY - INTERMEDIATE,"4,680",284
shah alam,2015,"shah alam, jalan 27/90",TERRACE FACTORY - INTERMEDIATE,"9,430",276
shah alam,2015,"shah alam, jalan sungai buloh 27/101a (hicom 27)",SEMI-D FACTORY,"11,550",476
shah alam,2017,"shah alam, jalan angklong 33/20",SEMI-D FACTORY,"25,446",236
shah alam,2016,"shah alam, jalan tambur 33/19",TERRACE FACTORY - INTERMEDIATE,"1,119",849
shah alam,2016,"shah alam, salung 33/26",TERRACE FACTORY - INTERMEDIATE,"2,002",450
shah alam,2016,"shah alam, jalan tamborin 33/23",TERRACE FACTORY - END LOT,"2,002",445
shah alam,2016,"shah alam, jalan tabla 33/21",TERRACE FACTORY - CORNER LOT,"5,220",375
shah alam,2016,"shah alam, jalan angklung 33/20",TERRACE FACTORY - INTERMEDIATE,"2,002",460
shah alam,2016,"shah alam, jalan angklung 33/20",TERRACE FACTORY - END LOT,"2,002",450
shah alam,2016,"shah alam, jalan tambur 33/19",SEMI-D FACTORY,"8,816",312
shah alam,2016,"shah alam, jalan 34/5",TERRACE FACTORY - INTERMEDIATE,"2,002",350
shah alam,2016,"shah alam, jalan tabla 33/21",TERRACE FACTORY - INTERMEDIATE,"2,002",412
shah alam,2017,"shah alam, jalan teluk batu 2",TERRACE FACTORY - INTERMEDIATE,"1,798",367
shah alam,2017,"shah alam, lorong telok batu 7",TERRACE FACTORY,"1,600",281
shah alam,2017,"shah alam, /‰Ï¥‰Ï¥, jalan teluk batu 2",TERRACE FACTORY - INTERMEDIATE,420,"1,190"
